ID    NODE LAT     NODE LON     FRIENDS LIST                           CENTROID COORD LIST 
71      30.1640017   88.1117334 {  485,  191,  478,  490,  354,  491}, {(  26.9764905,  84.0332983), (  31.7028909,  82.8177823), (  35.0309621,  86.7952111), (  33.3534810,  92.4216268), (  28.2802739,  93.2425473), (  25.2201576,  88.8899055)} 
72      41.1775998  144.0000000 {  493,  495,  229,  494,  492,  192}, {(  40.7985750,  137.4047768), (  45.2484260,  140.3612334), (  45.2484260,  147.6387666), (  40.7985750,  150.5952232), (  37.0004884,  147.0329488), (  37.0004884,  140.9670512)} 
73      30.1640017  160.1117334 {  496,  193,  492,  497,  295,  498}, {(  26.9764905,  156.0332983), (  31.7028909,  154.8177823), (  35.0309621,  158.7952111), (  33.3534810,  164.4216268), (  28.2802739,  165.2425473), (  25.2201576,  160.8899055)} 
74      30.1640017  127.8882666 {  501,  355,  500,  493,  194,  499}, {(  28.2802739,  122.7574527), (  33.3534810,  123.5783732), (  35.0309621,  129.2047889), (  31.7028909,  133.1822177), (  26.9764905,  131.9667017), (  25.2201576,  127.1100945)} 
75      14.4890834  152.8100037 {  504,  502,  195,  496,  503,  360}, {(  11.9016947,  148.4251184), (  16.6023009,  148.3431441), (  19.2783134,  152.5873167), (  17.3167267,  157.0877394), (  12.3751541,  157.3064543), (  9.6326310,  152.8991441)} 
76      14.4890834  135.1899963 {  366,  505,  499,  196,  502,  506}, {(  12.3751541,  130.6935457), (  17.3167267,  130.9122606), (  19.2783134,  135.4126833), (  16.6023009,  139.6568559), (  11.9016947,  139.5748816), (  9.6326310,  135.1008559)} 
77     -41.1775998  180.0000000 {  510,  508,  197,  507,  509,  271}, {( -40.7985750,  173.4047768), ( -37.0004884,  176.9670512), ( -37.0004884,  183.0329488), ( -40.7985750,  186.5952232), ( -45.2484260,  183.6387666), ( -45.2484260,  176.3612334)} 
78     -14.4890834  188.8100037 {  198,  511,  513,  289,  514,  512}, {( -16.6023009,  184.3431441), ( -11.9016947,  184.4251184), ( -9.6326310,  188.8991441), ( -12.3751541,  193.3064543), ( -17.3167267,  193.0877394), ( -19.2783134,  188.5873167)} 
79     -14.4890834  171.1899963 {  515,  517,  361,  516,  511,  199}, {( -17.3167267,  166.9122606), ( -12.3751541,  166.6935457), ( -9.6326310,  171.1008559), ( -11.9016947,  175.5748816), ( -16.6023009,  175.6568559), ( -19.2783134,  171.4126833)} 
80     -30.1640017  196.1117334 {  507,  200,  512,  519,  372,  518}, {( -31.7028909,  190.8177823), ( -26.9764905,  192.0332983), ( -25.2201576,  196.8899055), ( -28.2802739,  201.2425473), ( -33.3534810,  200.4216268), ( -35.0309621,  194.7952111)} 
81     -30.1640017  163.8882666 {  520,  378,  521,  515,  201,  508}, {( -33.3534810,  159.5783732), ( -28.2802739,  158.7574527), ( -25.2201576,  163.1100945), ( -26.9764905,  167.9667017), ( -31.7028909,  169.1822177), ( -35.0309621,  165.2047889)} 
82     -41.1775998  252.0000000 {  524,  522,  202,  523,  525,  277}, {( -40.7985750,  245.4047768), ( -37.0004884,  248.9670512), ( -37.0004884,  255.0329488), ( -40.7985750,  258.5952232), ( -45.2484260,  255.6387666), ( -45.2484260,  248.3612334)} 
83     -14.4890834  243.1899963 {  527,  529,  283,  528,  526,  203}, {( -17.3167267,  238.9122606), ( -12.3751541,  238.6935457), ( -9.6326310,  243.1008559), ( -11.9016947,  247.5748816), ( -16.6023009,  247.6568559), ( -19.2783134,  243.4126833)} 
84     -14.4890834  260.8100037 {  204,  526,  531,  313,  532,  530}, {( -16.6023009,  256.3431441), ( -11.9016947,  256.4251184), ( -9.6326310,  260.8991441), ( -12.3751541,  265.3064543), ( -17.3167267,  265.0877394), ( -19.2783134,  260.5873167)} 
85     -30.1640017  235.8882666 {  533,  373,  534,  527,  205,  522}, {( -33.3534810,  231.5783732), ( -28.2802739,  230.7574527), ( -25.2201576,  235.1100945), ( -26.9764905,  239.9667017), ( -31.7028909,  241.1822177), ( -35.0309621,  237.2047889)} 
86     -30.1640017  268.1117334 {  523,  206,  530,  536,  384,  535}, {( -31.7028909,  262.8177823), ( -26.9764905,  264.0332983), ( -25.2201576,  268.8899055), ( -28.2802739,  273.2425473), ( -33.3534810,  272.4216268), ( -35.0309621,  266.7952111)} 
87     -41.1775998  324.0000000 {  539,  537,  207,  538,  540,  253}, {( -40.7985750,  317.4047768), ( -37.0004884,  320.9670512), ( -37.0004884,  327.0329488), ( -40.7985750,  330.5952232), ( -45.2484260,  327.6387666), ( -45.2484260,  320.3612334)} 
88     -14.4890834  315.1899963 {  542,  544,  307,  543,  541,  208}, {( -17.3167267,  310.9122606), ( -12.3751541,  310.6935457), ( -9.6326310,  315.1008559), ( -11.9016947,  319.5748816), ( -16.6023009,  319.6568559), ( -19.2783134,  315.4126833)} 
89     -14.4890834  332.8100037 {  209,  541,  546,  331,  547,  545}, {( -16.6023009,  328.3431441), ( -11.9016947,  328.4251184), ( -9.6326310,  332.8991441), ( -12.3751541,  337.3064543), ( -17.3167267,  337.0877394), ( -19.2783134,  332.5873167)} 
90     -30.1640017  307.8882666 {  548,  385,  549,  542,  210,  537}, {( -33.3534810,  303.5783732), ( -28.2802739,  302.7574527), ( -25.2201576,  307.1100945), ( -26.9764905,  311.9667017), ( -31.7028909,  313.1822177), ( -35.0309621,  309.2047889)} 
91     -30.1640017  340.1117334 {  538,  211,  545,  551,  390,  550}, {( -31.7028909,  334.8177823), ( -26.9764905,  336.0332983), ( -25.2201576,  340.8899055), ( -28.2802739,  345.2425473), ( -33.3534810,  344.4216268), ( -35.0309621,  338.7952111)} 
92     -41.1775998   36.0000000 {  554,  552,  212,  553,  555,  259}, {( -40.7985750,  29.4047768), ( -37.0004884,  32.9670512), ( -37.0004884,  39.0329488), ( -40.7985750,  42.5952232), ( -45.2484260,  39.6387666), ( -45.2484260,  32.3612334)} 
93     -14.4890834   27.1899963 {  557,  559,  325,  558,  556,  213}, {( -17.3167267,  22.9122606), ( -12.3751541,  22.6935457), ( -9.6326310,  27.1008559), ( -11.9016947,  31.5748816), ( -16.6023009,  31.6568559), ( -19.2783134,  27.4126833)} 
94     -14.4890834   44.8100037 {  214,  556,  561,  349,  562,  560}, {( -16.6023009,  40.3431441), ( -11.9016947,  40.4251184), ( -9.6326310,  44.8991441), ( -12.3751541,  49.3064543), ( -17.3167267,  49.0877394), ( -19.2783134,  44.5873167)} 
