ID    NODE_LAT     NODE_LON     FRIENDS LIST                          CENTROID COORD LIST
91    -30.157350   340.035371   { 150,   40,  126,   87,    9,   89}, {(-26.444451, 349.899764), (-36.115262, 348.792136), (-39.353214, 336.446384), (-32.593645, 329.270892), (-24.016282, 331.880215), (-20.521191, 340.734482)} 
92    -41.114523    36.000000   {  96,  129,   20,  128,   95,   10}, {(-39.353214,  48.446384), (-48.980751,  43.413729), (-48.980751,  28.586271), (-39.353214,  23.553616), (-32.593645,  30.729108), (-32.593645,  41.270892)} 
93    -14.548444    27.227645   { 151,   94,   10,   95,  152,   31}, {(-10.094975,  36.000000), (-19.002001,  36.000000), (-24.016282,  28.119785), (-20.521191,  19.265518), (-10.261345,  18.612032), ( -5.110087,  26.929237)} 
94    -14.548444    44.772355   {  33,  156,   96,   10,   93,  151}, {(-10.261345,  53.387968), (-20.521191,  52.734482), (-24.016282,  43.880215), (-19.002001,  36.000000), (-10.094975,  36.000000), ( -5.110087,  45.070763)} 
95    -30.157350    19.964629   {  93,   10,   92,  128,   40,  152}, {(-24.016282,  28.119785), (-32.593645,  30.729108), (-39.353214,  23.553616), (-36.115262,  11.207864), (-26.444451,  10.100236), (-20.521191,  19.265518)} 
96    -30.157350    52.035371   { 156,   41,  129,   92,   10,   94}, {(-26.444451,  61.899764), (-36.115262,  60.792136), (-39.353214,  48.446384), (-32.593645,  41.270892), (-24.016282,  43.880215), (-20.521191,  52.734482)} 
97    -41.114523   108.000000   { 100,  130,   21,  131,  101,   11}, {(-39.353214, 120.446384), (-48.980751, 115.413729), (-48.980751, 100.586271), (-39.353214,  95.553616), (-32.593645, 102.729108), (-32.593645, 113.270892)} 
98    -14.548444    99.227645   { 157,   99,   11,  101,  158,   34}, {(-10.094975, 108.000000), (-19.002001, 108.000000), (-24.016282, 100.119785), (-20.521191,  91.265518), (-10.261345,  90.612032), ( -5.110087,  98.929237)} 
99    -14.548444   116.772355   {  36,  161,  100,   11,   98,  157}, {(-10.261345, 125.387968), (-20.521191, 124.734482), (-24.016282, 115.880215), (-19.002001, 108.000000), (-10.094975, 108.000000), ( -5.110087, 117.070763)} 
100   -30.157350   124.035371   { 161,   38,  130,   97,   11,   99}, {(-26.444451, 133.899764), (-36.115262, 132.792136), (-39.353214, 120.446384), (-32.593645, 113.270892), (-24.016282, 115.880215), (-20.521191, 124.734482)} 
101   -30.157350    91.964629   {  98,   11,   97,  131,   41,  158}, {(-24.016282, 100.119785), (-32.593645, 102.729108), (-39.353214,  95.553616), (-36.115262,  83.207864), (-26.444451,  82.100236), (-20.521191,  91.265518)} 
102    63.437162   252.000000   {  43,   13,  107,  104,   12,   42}, {( 66.863227, 275.553616), ( 56.878579, 269.295302), ( 52.626080, 252.000000), ( 56.878579, 234.704698), ( 66.863227, 228.446384), ( 73.528954, 252.000000)} 
